provider_id,provider_name,department,credential,primary_facility_id,max_daily_patients,years_at_meridian,credential_expiration
PRV-500,Dr. Carlos Murphy,Orthopedics,PhD (Psych),FAC-105,18,8.1,2027-12-02
PRV-501,Dr. Yusuf Rossi,Dermatology,NP,FAC-103,16,10.4,2028-01-15
PRV-502,Dr. Carlos Nguyen,Behavioral Health,PhD (Psych),FAC-106,17,20.0,2026-12-31
PRV-503,Dr. Fatima Osei,Women's Health,PA,FAC-118,23,9.6,2027-06-22
PRV-504,Dr. Priya Adeyemi,Women's Health,DO,FAC-102,21,11.7,2027-06-14
PRV-505,Dr. Chloe Osei,Physical Therapy,PA,FAC-109,10,2.5,2028-01-08
PRV-506,Dr. Aisha Reyes,Physical Therapy,PA,FAC-105,19,15.5,2028-06-29
PRV-507,Dr. Chloe Haddad,Radiology,MD,FAC-102,22,1.6,2027-03-31
PRV-508,Dr. Arjun Osei,Behavioral Health,NP,FAC-111,20,5.6,2028-07-06
PRV-509,Dr. Ingrid Ibrahim,Physical Therapy,MD,FAC-102,27,18.7,2027-07-24
PRV-510,Dr. Maya O'Brien,General Medicine,MD,FAC-109,25,3.3,2027-03-31
PRV-511,Dr. Kwame Ibrahim,Physical Therapy,NP,FAC-112,18,16.4,2027-08-03
PRV-512,"Liam Kowalski, NP",Radiology,DO,FAC-119,12,7.9,2027-04-11
PRV-513,Dr. Omar Murphy,Dermatology,DO,FAC-107,15,4.1,2027-06-14
PRV-514,Dr. Freya Novak,Oncology,MD,FAC-105,18,17.2,2028-03-09
PRV-515,Dr. Jack Kim,Women's Health,PA,FAC-117,19,10.4,2028-02-25
PRV-516,Dr. Grace Silva,General Medicine,DO,FAC-104,25,15.0,2028-03-12
PRV-517,Dr. Priya Fitzgerald,Dermatology,MD,FAC-115,26,1.4,2028-05-04
PRV-518,Dr. Sofia Patel,Physical Therapy,DO,FAC-113,14,10.7,2028-03-09
PRV-519,Dr. Carlos Osei,Behavioral Health,DO,FAC-116,22,3.7,2027-12-03
PRV-520,Dr. Zoe Nguyen,Physical Therapy,PA,FAC-117,11,8.2,2028-03-21
PRV-521,Dr. Noah Garcia,Oncology,PA,FAC-112,17,13.4,2028-01-21
PRV-522,Dr. Omar Ibrahim,Cardiology,DO,FAC-103,24,16.9,2026-08-31
PRV-523,Dr. Aisha Patel,Radiology,PhD (Psych),FAC-104,17,10.5,2026-10-04
PRV-524,"Grace Bianchi, NP",Behavioral Health,MD,FAC-102,19,13.6,2028-04-01
